"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","N"
13201012000,13201,"120","べんてんいけ・べんてんいけきたいせき","弁天池・弁天池北遺跡","八王子市 横川町","[縄文時代（中期～晩期）][古墳時代][奈良時代][平安時代][近世]","集落","[縄文時代]敷石住居　[古墳時代]住居　土坑　[奈良時代]住居","縄文土器　石斧　礫器　石鏃　石皿　磨石　砥石　石核　土錘　耳飾　土冠　石棒　石剣　土偶　土師器　鉄鏃　紡錘車　支脚　石製丸玉　土製小玉",139.3051624,35.66606531,TRUE
13201012600,13201,"126","ふなだいせき","船田遺跡","八王子市 長房町","[縄文時代（前期～晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代]","集落・墳墓","[縄文時代]住居　敷石住居　土坑　埋甕　[弥生時代]住居　方形周溝墓　[古墳時代]住居　[奈良時代]住居　[平安時代]住居　[時代不明]住居　貯蔵穴　柱穴　土坑　溝　火葬墓","縄文土器　石鏃　石皿　磨石　弥生土器　土師器　須恵器　鋤先　鎌　鉄斧　鉄鏃　刀子　砥石　編み石　紡錘車　陶器　土製模造品　瓦　銭貨　鉄滓　木皿　炭化物",139.297369,35.65563282,TRUE
13201012700,13201,"127","","八王子市No.127遺跡","八王子市 散田町","[縄文時代（早期・中期）][奈良時代][平安時代][近世]","集落","[縄文時代]住居　敷石住居","縄文土器　土師器　陶磁器",139.3024448,35.64917898,TRUE
13201012900,13201,"129","ひらつかいせき","平塚遺跡","八王子市 山田町　 散田町二丁目　 台町","[縄文時代（早期～中期）][弥生時代（中期～後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]集石　土坑　[古墳時代]住居　土坑　溝　円形周溝墓　[時代不明]敷石状遺構　道状遺構　土坑","縄文土器　打斧　石皿　弥生土器　土師器　須恵器　石器　鉄鏃　銅製品",139.319096,35.64811883,TRUE
13201013000,13201,"130","ごしょみずいせき","御所水遺跡","八王子市 台町二丁目　 散田東町","[縄文時代（早期～後期）][弥生時代（後期）][奈良時代][平安時代][近世]","集落","[縄文時代]住居　[弥生時代]住居","縄文土器　石槍　石鏃　石皿　土製耳飾　炭化種子　弥生土器　磨斧",139.316418,35.65115975,TRUE
13201013400,13201,"134","はざまいせき","狭間遺跡","八王子市 狭間町","[縄文時代（早期・中期）][奈良時代][平安時代]","集落","[縄文時代]住居　炉穴","縄文土器　石斧　石匙　剥片　土鈴　土師器",139.2863151,35.6360297,TRUE
13201013800,13201,"138","くぬぎだだいいちいせき","椚田第I遺跡","八王子市 椚田町　 めじろ台二丁目","[縄文時代（早期～後期）][古墳時代][奈良時代][平安時代]","集落","[古墳時代]住居　[奈良時代]住居　[平安時代]住居","",139.3087635,35.63965467,TRUE
13201013900,13201,"139","かみやはら（くぬぎだだいに）いせき","神谷原(椚田第II）遺跡","八王子市 椚田町　 小比企町","[旧石器時代][縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代]","集落","[縄文時代]住居　集石　小竪穴　炉穴　陥し穴　土坑　ピット　[弥生時代][古墳時代]住居　方形周溝墓　円形周溝墓","",139.314497,35.6365017,TRUE
13201014200,13201,"142","","八王子市No.142遺跡","八王子市 椚田町","[古墳時代][奈良時代][平安時代]","包蔵地","","土師器",139.3024121,35.63728298,TRUE
13201014400,13201,"144","","八王子市No.144遺跡","八王子市 めじろ台二丁目","[縄文時代（前期）][古墳時代][奈良時代][平安時代]","集落","[古墳時代]住居","縄文土器　土師器　須恵器",139.3122311,35.64091024,TRUE
13201014500,13201,"145","ひなたいせき","日南田遺跡","八王子市 寺田町　 館町","[縄文時代（早期～中期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　集石　炉穴　焼土　陥穴　屋外埋甕　土坑　ピット　[平安時代]住居　溝　[古墳時代]住居　堀立柱建物跡　土坑　溝","縄文土器　石器　土製品　土師器　須恵器　銭貨　鉄製品　陶磁器",139.3074689,35.62973917,TRUE
13201015000,13201,"150","てらだいせきぐんNo.6いせき","寺田遺跡群No.6遺跡","八王子市 寺田町　 大船町","[縄文時代（前期～中期）][古墳時代][奈良時代][平安時代]","包蔵地","[縄文時代]土坑","縄文土器　打斧　石皿　磨石　土師器",139.3060952,35.6249675,TRUE
13201015100,13201,"151","みなみはちおうじちくNo.9いせき","南八王子地区No.9遺跡","八王子市 小比企町","[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世]","集落","[縄文時代]住居","縄文土器　打斧　磨斧　石皿　敲石　剥片　土師器　陶磁器",139.3206453,35.63572284,TRUE
13201015400,13201,"154","","八王子市No.154遺跡","八王子市 小比企町","[奈良時代][平安時代]","包蔵地","","土師器",139.3224993,35.63756443,TRUE
13201015500,13201,"155","みなみはちおうじちくNo.8いせき","南八王子地区No.8遺跡","八王子市 小比企町","[縄文時代（早期～中期）][弥生時代][奈良時代][平安時代][近世]","包蔵地","","縄文土器　弥生土器　土師器　須恵器　陶磁器",139.3246241,35.63847468,TRUE
13201015700,13201,"157","こびきむこうはら（みなみはちおうじちくNo.7）いせき","小比企向原（南八王子地区No.7）遺跡","八王子市 小比企町　 西片倉三丁目　 みなみ野五丁目　 みなみ野六丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][奈良時代][平安時代][近世]","集落","[縄文時代]住居　敷石住居　竪穴状遺構　集石　炉穴　土坑　埋甕　配石　[古墳時代]住居　土坑　[奈良時代]住居　掘立柱建物　[平安時代]住居　道路状遺構　[近世]溝状遺構　道路状遺構　[時代不明]住居","尖頭器　細石刃　縄文土器　打斧　磨斧　石鏃　石匙　石皿　磨石　凹石　有頭石棒　土偶　土鈴　土師器　須恵器",139.3222592,35.6351645,TRUE
13201015800,13201,"158","ときた（みなみはちおうじちくNo.4）いせき","時田（南八王子地区No.4）遺跡","八王子市 小比企町","[縄文時代（草創期～後期）][弥生時代][奈良時代][平安時代][中世][近世]","集落・その他（鍛冶遺構）","[縄文時代]住居　集石　[平安時代]住居　掘立柱建物　工房　土坑　[中世][近世]土坑　溝　道　鍛冶遺構","縄文土器　石器　弥生土器　土師器　須恵器　鉄製品　銭貨",139.3291254,35.6397966,TRUE
13201016000,13201,"160","みなみはちおうじちくNo.3いせき","南八王子地区No.3遺跡","八王子市 片倉町","[縄文時代（草創期～後期）][古墳時代][奈良時代][平安時代]","集落","[縄文時代]住居　集石　炉穴　陥し穴　土坑　[古墳時代]住居　[平安時代]住居　集石","縄文土器　打斧　礫器　磨石　凹石　土師器　須恵器",139.3325794,35.64189097,TRUE
13201016100,13201,"161","みなみはちおうじちくNo.5いせき","南八王子地区No.5遺跡","八王子市 片倉町","[縄文時代（前期～中期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]陥し穴　土坑　[古墳時代]住居　[平安時代]住居　[中世]土坑　溝状遺構　道状遺構","縄文土器　打斧　礫器　石鏃　掻器　土師器　須恵器　陶器　鉄製品",139.3319614,35.6404401,TRUE
13201016400,13201,"164","かたくら（みなみはちおうじちくNo.2）いせき","片倉（南八王子地区No.2）遺跡","八王子市 片倉町","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[時代不明]住居","ナイフ形石器　刃器　縄文土器　打斧　磨斧　土師器　陶磁器",139.334502,35.63893341,TRUE
13201016600,13201,"166","ごうだばら（みなみはちおうじちくNo.12）いせき","郷田原(南八王子地区No.12）遺跡","八王子市 西片倉二丁目　 西方倉三丁目　 みなみ野一丁目","[旧石器時代][縄文時代（早期～後期）][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　柄鏡形住居　小堅穴　炉穴　埋甕　集石　土坑　[弥生時代]住居　[古墳時代]住居　[奈良時代]住居　[中世]地下式坑　[近世]胞衣埋納","旧石器　縄文土器　石器　土製品　土師器　須恵器　石製品　胞衣容器",139.3302584,35.63549962,TRUE
13201016700,13201,"167","みなみはちおうじちくNo.11いせき","南八王子地区No.11遺跡","八王子市 西片倉二丁目","[縄文時代（早期～後期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世]","集落","[縄文時代]住居　掘立柱建物　集石　炉穴　陥穴　土坑墓　[弥生時代]住居　[古墳時代]住居　土坑　[中世以降]土坑 ムロ状遺構　炭焼窯","縄文土器　石器　弥生土器　土師器",139.333108,35.63650413,TRUE
13201016900,13201,"169","かたくらちくNo.2いせき","片倉地区No.2遺跡","八王子市 片倉町","[縄文時代（前期～中期）][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　陶磁器",139.3408192,35.63645009,TRUE
13201017300,13201,"173","かたくらちくNo.6いせき","片倉地区No.6遺跡","八王子市 片倉町","[奈良時代][平安時代]","包蔵地","","土師器",139.3463123,35.63078561,TRUE
13201017400,13201,"174","","八王子市No.174遺跡","八王子市 打越町　 北野町　 子安二丁目","[縄文時代（早期～後期）][奈良時代][平安時代][中世][近世]","集落・墳墓","[縄文時代]住居跡　炉穴　陥穴　土坑　ピット　集石 [奈良時代][平安時代]住居跡　掘立柱建物跡　土坑　ピット [中世][近世]掘立柱建物跡　柵列　段切り　溝　土坑　集石墓　火葬墓　ピット [近世以降]溝　道","縄文土器　石器　土師器　須恵器　陶磁器　鉄製品　木製品　瓦　石製品　五輪塔　銭貨　板碑　灰釉陶器",139.3440409,35.64682822,TRUE
13201017700,13201,"177","","八王子市No.177遺跡","八王子市 打越町","[縄文時代][奈良時代][平安時代]","集落","[縄文時代]敷石住居","縄文土器　土師器　須恵器",139.3490935,35.64804784,TRUE
13201018700,13201,"187","","八王子市No.187遺跡","八王子市 中山","[縄文時代（早期～後期）][弥生時代][奈良時代][平安時代]","包蔵地","","縄文土器　弥生土器　土師器",139.3624259,35.62557319,TRUE
13201020500,13201,"205","たまにゅーたうんNo.241いせき","多摩ニュータウンNo.241遺跡","八王子市 鑓水","[縄文時代（早期～晩期）][弥生時代][奈良時代][平安時代][近世]","集落","[縄文時代]集石　炉　焼土　土坑　埋甕　[奈良時代][平安時代]住居　竪穴状遺構　土坑　[近世]ピット　杭列","縄文土器　打斧　石鏃　磨石　弥生土器　土師器　須恵器　鉄鏃　瓦　鉄滓　陶磁器",139.3437772,35.61361472,TRUE
13201021000,13201,"210","","八王子市No.210遺跡","八王子市 鑓水町","[奈良時代][平安時代]","包蔵地","","土師器　須恵器",139.3470192,35.61421205,TRUE
13201021500,13201,"215","たまにゅーたうんNo.321いせき","多摩ニュータウンNo.321遺跡","八王子市 鑓水町","[奈良時代][平安時代]","包蔵地","","土師器　須恵器　瓦",139.3508122,35.613068,TRUE
13201021600,13201,"216","たまにゅーたうんNo.324いせき","多摩ニュータウンNo.324遺跡","八王子市 鑓水町","[奈良時代][平安時代][中世][近世]","包蔵地","","土師器　陶器",139.3532319,35.61331453,TRUE
13201021900,13201,"219","たまにゅーたうんNo.315いせき","多摩ニュータウンNo.315遺跡","八王子市 鑓水","[縄文時代（早期～中期）][奈良時代][平安時代]","包蔵地","※町田市No.127遺跡と一連の多摩ニュータウン遺跡 [縄文時代]土坑 [奈良時代][平安時代]土坑 [近世]土坑","縄文土器 陶器",139.3525147,35.60827792,TRUE
13201022100,13201,"221","たまにゅーたうんNo.233いせき","多摩ニュータウンNo.233遺跡","八王子市 鑓水","[奈良時代][平安時代]","包蔵地","","土師器　布目瓦",139.3485152,35.61222643,TRUE
13201022300,13201,"223","たまにゅーたうんNo.236いせき","多摩ニュータウンNo.236遺跡","八王子市 鑓水","[縄文時代（前期）][奈良時代][平安時代][近世]","包蔵地","[奈良時代][平安時代]土坑　[時代不明]溝","縄文土器　土師器　陶磁器",139.3465369,35.61042536,TRUE
13201022400,13201,"224","たまにゅーたうんNo.237いせき","多摩ニュータウンNo.237遺跡","八王子市 鑓水","[縄文時代（早期～後期）][奈良時代][平安時代][中世][近世]","包蔵地","※町田市No.856遺跡と一連の多摩ニュータウン遺跡　 [縄文時代]集石　炉　焼土　土坑　[奈良時代][平安時代]土坑　[近世]土坑　井戸　溝","縄文土器　石鏃　スタンプ形石器　土師器　須恵器　陶磁器",139.3473468,35.60949397,TRUE
13201022700,13201,"227","たまにゅーたうんNo.229いせき","多摩ニュータウンNo.229遺跡","八王子市 鑓水","[縄文時代][古墳時代][奈良時代][平安時代]","集落","[縄文時代]土坑　[古墳時代]住居　[奈良時代][平安時代]土坑　道路状遺構","縄文土器　石斧　礫器　石鏃　石製品　土師器　須恵器　陶磁器",139.3548637,35.60831741,TRUE
13201022800,13201,"228","たまにゅーたうんNo.314いせき","多摩ニュータウンNo.314遺跡","八王子市 鑓水","[縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][近世]","集落","[縄文時代]焼土　土坑　[古墳時代]住居　[奈良時代][平安時代]土坑　道路状遺構　[近世]溝","縄文土器　石器　土器　石製品　土師器　須恵器　陶磁器",139.3545855,35.60781518,TRUE
13201022900,13201,"229","たまにゅーたうんNo.232いせき","多摩ニュータウンNo.232遺跡","八王子市 鑓水","[奈良時代][平安時代]","包蔵地","","土師器　須恵器",139.3512664,35.61106084,TRUE
13201023000,13201,"230","たまにゅーたうんNo.333・334いせき","多摩ニュータウンNo.333・334遺跡","八王子市 鑓水","[縄文時代（早期・中期～後期）][奈良時代][平安時代]","包蔵地・集落","※町田市No.124遺跡と一連の多摩ニュータウン遺跡 [縄文時代]土坑 [古墳時代]住居 [奈良時代][平安時代]住居 土坑","縄文土器 土師器 須恵器 陶磁器 鉄製品",139.3564276,35.60733846,TRUE
13201023300,13201,"233","たまにゅーたうんNo.326いせき","多摩ニュータウンNo.326遺跡","八王子市 鑓水","[縄文時代（前期）][奈良時代][平安時代]","包蔵地","[縄文時代]土坑　[時代不明]段切状遺構　溝","縄文土器　石器　土師器　須恵器",139.3600422,35.60577138,TRUE
13201023400,13201,"234","たまにゅーたうんNo.224いせき","多摩ニュータウンNo.224遺跡","八王子市 鑓水","[縄文時代][奈良時代][平安時代][中世]","包蔵地","[平安時代]土坑","縄文土器　土師器　須恵器　陶器",139.3609089,35.61187858,TRUE
13201023500,13201,"235","たまにゅーたうんNo.223いせき","多摩ニュータウンNo.223遺跡","八王子市 鑓水","[縄文時代（前期～中期）][奈良時代][平安時代]","包蔵地","[縄文時代]土坑　[時代不明]焼土","縄文土器　土師器　須恵器",139.3608697,35.61268988,TRUE
13201023700,13201,"237","たまにゅーたうんNo.225いせき","多摩ニュータウンNo.225遺跡","八王子市 鑓水","[縄文時代（前期）][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　須恵器",139.3605354,35.61123557,TRUE
13201023900,13201,"239","たまにゅーたうんNo.305いせき","多摩ニュータウンNo.305遺跡","八王子市 鑓水","[縄文時代（早期～前期）][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　須恵器",139.3607531,35.61089293,TRUE
13201024100,13201,"241","たまにゅーたうんNo.304いせき","多摩ニュータウンNo.304遺跡","八王子市 鑓水","[旧石器時代][縄文時代（前期～後期）][弥生時代（中期）][古墳時代][奈良時代][平安時代][中世]","集落","[縄文時代]敷石住居　集石　陥し穴　土坑　[古墳時代]?[中世]土坑　[平安時代]住居　焼成坑　[平安時代][中世]土坑","ナイフ形石器　礫器　縄文土器　打斧　礫器　有舌尖頭器　削器　石皿　磨石　両面加工石　器　弥生土器　土師器　須恵器　土師質土器　陶器（灰釉）　砥石　鉄製品　瓦",139.3622479,35.6096875,TRUE
13201024200,13201,"242","たまにゅーたうんNo.220いせき","多摩ニュータウンNo.220遺跡","八王子市 鑓水","[縄文時代][奈良時代][平安時代]","包蔵地","","縄文土器",139.3623403,35.60940401,TRUE
13201024500,13201,"245","たまにゅーたうんNo.306いせき","多摩ニュータウンNo.306遺跡","八王子市 鑓水","[縄文時代（前期・後期）][古墳時代][奈良時代][平安時代][近世]","集落","[縄文時代]土坑　[古墳時代]土坑　[平安時代]住居　[平安時代][中世]土坑　[近世]土坑　焼土　段切状遺構　溝","縄文土器　打斧　礫器　掻器　石皿　磨石　土師器　須恵器　陶器　瓦　陶磁器",139.3604749,35.60844727,TRUE
13201024600,13201,"246","たまにゅーたうんNo.307いせき","多摩ニュータウンNo.307遺跡","八王子市 鑓水","[縄文時代（早期～後期）][弥生時代（中期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","※町田市No.871遺跡と一連の多摩ニュータウン遺跡　[縄文時代]集石　集石土坑　炉　陥し穴　土坑　[古墳時代]土坑　[平安時代]住居　[近世]道","縄文土器　打斧　礫器　石鏃　削器　石匙　石皿　磨石　石核　弥生土器　土師器　須恵器　陶磁器　鉄釘　砥石　石臼　煙管　銭貨",139.3607207,35.60625203,TRUE
13201025000,13201,"250","たまにゅーたうんNo.222いせき","多摩ニュータウンNo.222遺跡","八王子市 鑓水","[奈良時代][平安時代]","包蔵地","[時代不明]土坑","土師器",139.3629478,35.61450089,TRUE
13201025200,13201,"252","たまにゅーたうんNo.215いせき","多摩ニュータウンNo.215遺跡","八王子市 鑓水","[縄文時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器?",139.3654838,35.61461431,TRUE
13201025300,13201,"253","たまにゅーたうんNo.216いせき","多摩ニュータウンNo.216遺跡","八王子市 鑓水","[奈良時代][平安時代]","包蔵地","[時代不明]竈","",139.3658441,35.61381378,TRUE
13201025400,13201,"254","たまにゅーたうんNo.217いせき","多摩ニュータウンNo.217遺跡","八王子市 鑓水","[縄文時代（早期～前期）][奈良時代]","集落","[奈良時代]住居　段状落込み","縄文土器　土師器　須恵器",139.3648914,35.61339974,TRUE
13201025800,13201,"258","たまにゅーたうんNo.213いせき","多摩ニュータウンNo.213遺跡","八王子市 上柚木","[旧石器時代][縄文時代（早期～後期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]]石器製作址　土坑　[近世]建物　柱穴　土坑　室　階段　畝　配石　段切状遺構　削平面　溝　墓壙","ナイフ形石器　掻器　石核　剥片　炭化材　縄文土器　打斧　礫器　尖頭器　石鏃　石皿　磨石　凹石　土師器　須恵器　瓦　陶磁器　舶載陶磁器　硯　砥石　金属製品　銭貨　人骨",139.3653004,35.61815663,TRUE
13201026300,13201,"263","たまにゅーたうんNo.182いせき","多摩ニュータウンNo.182遺跡","八王子市 上柚木","[縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　集石　土坑　石鏃製作址　[古墳時代]土坑　[奈良時代][平安時代]住居　土坑　[平安時代]?[近世]土坑　溝　[近世]井戸　炭窯　段切状遺構　溝　墓","縄文土器　打斧　磨斧　礫器　尖頭器　石鏃　掻器　石皿　磨石　敲石　石核　土師器　須恵器　陶器（灰釉）　鉄製品　陶磁器　銭貨",139.3691485,35.61824036,TRUE
13201026500,13201,"265","たまにゅーたうんNo.183いせき","多摩ニュータウンNo.183遺跡","八王子市 上柚木","[奈良時代][平安時代]","包蔵地","","",139.3693001,35.6171798,TRUE
13201026800,13201,"268","たまにゅーたうんNo.298いせき","多摩ニュータウンNo.298遺跡","八王子市 上柚木","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][近世]","包蔵地","[縄文時代]集石　土坑　[奈良時代][平安時代]土坑　[時代不明]焼土","縄文土器　石器　陶磁器",139.3719926,35.6209605,TRUE
13201027000,13201,"270","たまにゅーたうんNo.491いせき","多摩ニュータウンNo.491遺跡","八王子市 上柚木","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][近世]","包蔵地","[縄文時代]集石　土坑　[奈良時代][平安時代]土坑　[近世]溝　[時代不明]焼土","剥片　縄文土器　打斧　土師器　陶磁器",139.3709403,35.62017484,TRUE
13201027200,13201,"272","たまにゅーたうんNo.174いせき","多摩ニュータウンNo.174遺跡","八王子市 上柚木","[旧石器時代][縄文時代（早期～中期）][古墳時代][奈良時代][平安時代]","集落","[縄文時代]土坑　集石土坑　[平安時代]住居　[近世]炭窯","縄文土器　打斧　礫器　石鏃　石匙　石錘　石皿　磨石　凹石　土製耳飾　土師器　須恵器　陶磁器",139.3737859,35.62130433,TRUE
13201027400,13201,"274","たまにゅーたうんNo.166いせき","多摩ニュータウンNo.166遺跡","八王子市 下柚木","[縄文時代（早期～中期）][奈良時代][平安時代][近世]","集落","[旧石器時代]]ユニット　[縄文時代]集石　焼土　土坑　[奈良時代][平安時代]土坑　[近世]炭窯　溝","ナイフ形石器　剥片　縄文土器　打斧　土師器　須恵器　陶磁器　鉄鎌",139.3776475,35.62028991,TRUE
13201027500,13201,"275","たまにゅーたうんNo.496いせき","多摩ニュータウンNo.496遺跡","八王子市 上柚木　 下柚木","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]]遺物集中地点　[縄文時代]住居　集石　土坑　[平安時代][中世]ピット　土坑　集石　井戸　[中世][近世]建物　竪穴状遺構　ピット　土坑　地下式土坑　焼土　井戸　段切状遺構　溝","ナイフ形石器　尖頭器　掻器　敲石　石核　剥片　縄文土器　打斧　礫器　石鏃　掻器　石皿　須恵器　陶磁器　土師質土器　瓦器　舶載陶磁器　鉄製品　砥石　石臼　編み石　銭貨",139.3780428,35.6225287,TRUE
13201027600,13201,"276","たまにゅーたうんNo.490いせき","多摩ニュータウンNo.490遺跡","八王子市 上柚木","[旧石器時代][縄文時代（早期～中期）][古墳時代][奈良時代][平安時代][近世]","包蔵地","[縄文時代]集石　土坑　[奈良時代][平安時代]土坑　[近世]炭窯　溝　[時代不明]住居　焼土　土坑","剥片　縄文土器　石器　土師器　陶磁器　擂鉢",139.371951,35.62018999,TRUE
13201027900,13201,"279","たまにゅーたうんNo.286いせき","多摩ニュータウンNo.286遺跡","八王子市 上柚木","[縄文時代（早期～前期）][奈良時代][平安時代][近世]","包蔵地","[縄文時代]土坑　[近世]炭窯　溝","縄文土器　スタンプ形石器　石器　加工礫　土製円板　弥生土器　土師器　陶磁器",139.3720046,35.61922594,TRUE
13201029000,13201,"290","たまにゅーたうんNo.155いせき","多摩ニュータウンNo.155遺跡","八王子市 下柚木","[奈良時代][平安時代]","包蔵地","","土師器",139.3829212,35.62202114,TRUE
13201029500,13201,"295","たまにゅーたうんNo.159いせき","多摩ニュータウンNo.159遺跡","八王子市 下柚木","[縄文時代（前期）][奈良時代][平安時代]","包蔵地","","縄文土器　土師器",139.3804964,35.62256877,TRUE
13201029700,13201,"297","たまにゅーたうんNo.493いせき","多摩ニュータウンNo.493遺跡","八王子市 上柚木","[旧石器時代][縄文時代（前期）][奈良時代][平安時代][中世][近世]","集落","[縄文時代]集石　焼土　土坑　[奈良時代][平安時代]住居　[平安時代][中世]水溜め　[近世]ピット　井戸　溝　[時代不明]土坑","剥片　縄文土器　石器　土師器　須恵器　鉄斧　鉄鏃　木製品　陶磁器　土人形",139.3793244,35.62359721,TRUE
13201030000,13201,"300","たまにゅーたうんNo.115いせき","多摩ニュータウンNo.115遺跡","八王子市 下柚木","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][中世][近世]","集落","[旧石器時代]]礫群　[縄文時代]住居　集石　土坑　[近世]土坑　井戸　炭窯　溝","尖頭器　縄文土器　石器　陶磁器　カワラケ",139.3806864,35.62418919,TRUE
13201030100,13201,"301","たまにゅーたうんNo.113いせき","多摩ニュータウンNo.113遺跡","八王子市 下柚木","[旧石器時代][縄文時代（前期～中期）][奈良時代][平安時代][中世][近世]","集落・社寺","[旧石器時代]]礫群　[縄文時代]住居　集石　炉　土坑　配石　[奈良時代][平安時代]住居　土坑　[中世]ピット　集石　土坑　井戸　土坑　地下式横穴　炭窯　墓壙　[近世]土坑　井戸　段切状遺構　溝","ナイフ形石器　尖頭器　剥片　縄文土器　打斧　磨斧　石鏃　土師器　須恵器　鉄斧　刀子　陶磁器　カワラケ　和鏡　銭貨",139.381579,35.62494268,TRUE
13201030300,13201,"303","たまにゅーたうんNo.151いせき","多摩ニュータウンNo.151遺跡","八王子市 松木","[縄文時代（前期～中期）][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　土人形",139.387194,35.62157537,TRUE
13201030400,13201,"304","たまにゅーたうんNo.495いせき","多摩ニュータウンNo.495遺跡","八王子市 上柚木","[縄文時代（早期～中期）][奈良時代][平安時代][近世]","包蔵地","[奈良時代][平安時代]土坑　[近世]炭窯　[時代不明]配石状遺構","縄文土器　石器　陶磁器",139.3785346,35.62160162,TRUE
13201030500,13201,"305","たまにゅーたうんNo.407いせき","多摩ニュータウンNo.407遺跡","八王子市 上柚木　 下柚木","[縄文時代（早期～中期）][弥生時代][奈良時代][平安時代][中世][近世]","包蔵地","[縄文時代]集石　土坑　[平安時代]円形土坑　[中世][近世]地下式土坑　井戸","縄文土器　尖頭器　石器　弥生土器　土師器　須恵器　陶磁器　砥石",139.3764987,35.61672365,TRUE
13201030600,13201,"306","たまにゅーたうんNo.106いせき","多摩ニュータウンNo.106遺跡","八王子市 堀之内　 越野","[旧石器時代][縄文時代（前期～中期）][奈良時代][平安時代][近世]","集落","[縄文時代]集石　土坑　[奈良時代][平安時代]住居　土坑　溝　[近世]土坑　炭窯　溝　道路状遺構","掻器　縄文土器　打斧　磨斧　礫器　石鏃　石皿　耳飾　土師器　須恵器　陶器（灰釉）　鉄鏃　陶磁器",139.3928959,35.63136399,TRUE
13201030700,13201,"307","たまにゅーたうんNo.433いせき","多摩ニュータウンNo.433遺跡","八王子市 越野","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　土坑　[奈良時代][平安時代]土坑　[中世][近世]建物　柱穴群　焼土　井戸　地下式土坑　墓塚　段切り　溝","石核　剥片　縄文土器　石器　板碑　陶磁器　砥石　桶　曲物　漆器",139.3940519,35.62817418,TRUE
13201030900,13201,"309","たまにゅーたうんNo.432いせき","多摩ニュータウンNo.432遺跡","八王子市 越野","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][中世][近世]","集落","[縄文時代]住居　集石　焼土　土坑　[奈良時代][平安時代]住居　火葬墓　[奈良時代][平安時代][中世]土坑　[中世]堀　[近世]馬埋設遺構","石器　縄文土器　石器　土師器　須恵器　陶磁器　鉄製品",139.391271,35.63153676,TRUE
13201031100,13201,"311","たまにゅーたうんNo.394いせき","多摩ニュータウンNo.394遺跡","八王子市 南大沢","[旧石器時代][縄文時代（早期～中期）][奈良時代][平安時代][中世][近世]","包蔵地","[時代不明]集石状遺構　炭窯　段状遺構　溝状遺構","尖頭器　縄文土器　打斧　土師器　陶磁器",139.3830498,35.61800697,TRUE
13201031200,13201,"312","たまにゅーたうんNo.403いせき","多摩ニュータウンNo.403遺跡","八王子市 南大沢","[奈良時代][平安時代][中世][近世]","包蔵地","","瓦　陶磁器",139.3849579,35.61999468,TRUE
13201031700,13201,"317","たまにゅーたうんNo.297いせき","多摩ニュータウンNo.297遺跡","八王子市 南大沢","[縄文時代（中期）][奈良時代][平安時代][中世][近世]","包蔵地","","縄文土器　土師器　瓦器　陶磁器",139.3802686,35.61699823,TRUE
13201031800,13201,"318","たまにゅーたうんNo.296いせき","多摩ニュータウンNo.296遺跡","八王子市 南大沢","[縄文時代（早期～中期）][奈良時代][平安時代][中世][近世]","包蔵地","[縄文時代]集石　[中世]集石　墓","縄文土器　石器　土師器　須恵器　陶磁器",139.3816531,35.61756041,TRUE
13201031900,13201,"319","たまにゅーたうんNo.161いせき","多摩ニュータウンNo.161遺跡","八王子市 南大沢","[縄文時代（早期～前期）][奈良時代][平安時代]","包蔵地","","縄文土器　礫器　剥片　土師器　須恵器",139.3813086,35.61868644,TRUE
13201032000,13201,"320","たまにゅーたうんNo.165いせき","多摩ニュータウンNo.165遺跡","八王子市 南大沢","[縄文時代（中期）][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　須恵器　陶磁器",139.3786797,35.61536437,TRUE
