"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","K"
13112030800,13112,"308","のげ3ごうふん","野毛3号墳","世田谷区 野毛二丁目","[古墳時代]","古墳","[古墳時代]主体部（礫槨）","",139.6409813,35.60318641,TRUE
13112030900,13112,"309","のげ4ごうふん","野毛4号墳","世田谷区 野毛二丁目","[古墳時代]","古墳","[古墳時代]周溝","円筒埴輪",139.6427014,35.60145482,TRUE
13112031000,13112,"310","のげ5ごうふん","野毛5号墳","世田谷区 野毛二丁目","[古墳時代]","古墳","[古墳時代]周溝","",139.6429074,35.60160835,TRUE
13112031100,13112,"311","のげ6ごうふん","野毛6号墳","世田谷区 野毛二丁目","[古墳時代]","古墳","[古墳時代]周溝","土師器坏",139.643019,35.60131525,TRUE
13112031300,13112,"313","のげおおはらおうけつぼぐん","野毛大原横穴墓群","世田谷区 野毛二丁目","[古墳時代]","横穴墓","","人骨 須恵器（長頸壺） 土師器（坏）",139.6410106,35.60389735,TRUE
13112031500,13112,"315","みやのはら1ごうふん","宮之原1号墳","世田谷区 喜多見四丁目","[古墳時代]","古墳","形態（円墳） [古墳時代]周溝 横穴式石室","土師器 須恵器",139.5939716,35.62945464,TRUE
13112031600,13112,"316","のげ7ごうふん","野毛7号墳","世田谷区 野毛一丁目","[古墳時代]","古墳","形態（ブリッジ付?円墳） [古墳時代]周溝","",139.6429716,35.60305022,TRUE
13112031700,13112,"317","のげ8ごうふん","野毛8号墳","世田谷区 野毛一丁目","[古墳時代]","古墳","形態（ブリッジ付?円墳） [古墳時代]周溝","",139.6425424,35.60328401,TRUE
13112031800,13112,"318","のげ9ごうふん","野毛9号墳","世田谷区 野毛一丁目 野毛二丁目","[古墳時代]","古墳","形態（円墳） [古墳時代]周溝","土師器",139.6433149,35.60128461,TRUE
13112032200,13112,"322","おかもとはらみなみいせき","岡本原南遺跡","世田谷区 岡本一丁目","[縄文時代（早期・中期）][古墳時代]","集落","","",139.6206678,35.62430806,TRUE
13112032300,13112,"323","しもやま2ごうふん","下山2号墳","世田谷区 瀬田五丁目","[古墳時代]","古墳","形態（円墳） [古墳時代]周溝","",139.6245549,35.62306863,TRUE
13112032400,13112,"324","しもやま3ごうふん","下山3号墳","世田谷区 瀬田五丁目","[古墳時代]","古墳","形態（ブリッジ付円墳） [古墳時代]周溝","",139.6244004,35.62140811,TRUE
13112032500,13112,"325","たいしどうしもほんむらいせき","太子堂下本村遺跡","世田谷区 三宿二丁目 太子堂三丁目","[旧石器時代][縄文時代（早期〜後期）][古墳時代][奈良時代][平安時代][近世]","集落","","",139.6721799,35.65106232,TRUE
13112032700,13112,"327","のげ10ごうふん","野毛10号墳","世田谷区 野毛二丁目","[古墳時代]","古墳","円墳 古墳周溝","土師器 須恵器",139.6431099,35.60170693,TRUE
13112033000,13112,"330","のげ11ごうふん","野毛11号墳","世田谷区 野毛一丁目","[古墳時代]","古墳","円墳 古墳周溝","",139.6438857,35.60151491,TRUE
13112033100,13112,"331","のげ12ごうふん","野毛12号墳","世田谷区 野毛一丁目","[古墳時代]","古墳","円墳 [古墳時代]周溝","",139.6428858,35.6032526,TRUE
13112033400,13112,"334","のげ13ごうふん","野毛13号墳","世田谷区 野毛一丁目","[古墳時代]","古墳","方墳 [古墳時代]周濠","埴輪 土師器 鉄製品（鉄鎌）",139.6429373,35.6041005,TRUE
13113000200,13113,"2","","渋谷区No.2遺跡","渋谷区 代々木四丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・古墳","円墳","縄文土器　土師器　陶磁器",139.6924308,35.67891625,TRUE
13113000400,13113,"4","","渋谷区No.4遺跡","渋谷区 代々木五丁目","[古墳時代]","古墳","円墳?","石棺",139.6886199,35.67215383,TRUE
13113000900,13113,"9","かねづかこふん","カネ塚古墳","渋谷区 西原三丁目","[古墳時代]","古墳","円墳","武装埴輪　玉　ほう製鏡　金環　銭貨",139.6788639,35.67022637,TRUE
13113001200,13113,"12","","渋谷区No.12遺跡","渋谷区 富ケ谷一丁目","[古墳時代][奈良時代]","横穴墓","","",139.6887859,35.66827397,TRUE
13113001300,13113,"13","","渋谷区No.13遺跡","渋谷区 富ケ谷一丁目","[古墳時代][奈良時代]","横穴墓","","",139.6903996,35.66687937,TRUE
13113001400,13113,"14","","渋谷区No.14遺跡","渋谷区 富ケ谷二丁目","[古墳時代]","古墳","円墳","",139.6867603,35.66612627,TRUE
13113001700,13113,"17","","渋谷区No.17遺跡","渋谷区 代々木神園町","[古墳時代]","古墳","円墳","須恵器　鉄刀",139.6976093,35.68040597,TRUE
13113002200,13113,"22","","渋谷区No.22遺跡","渋谷区 代々木神園町","[古墳時代]","古墳","円墳","箱式石棺",139.6996349,35.67401947,TRUE
13113002300,13113,"23","","渋谷区No.23遺跡","渋谷区 代々木神園町","[古墳時代]","古墳","円墳3基","須恵器　鏡　鉄刀",139.6924252,35.67438203,TRUE
13113002900,13113,"29","なまこやまこふん","ナマコ山古墳","渋谷区 神南二丁目","[古墳時代]","古墳","前方後円墳?","",139.6967854,35.66492689,TRUE
13113003100,13113,"31","","渋谷区No.31遺跡","渋谷区 松濤二丁目","[古墳時代][奈良時代]","横穴墓","","",139.6896326,35.66033388,TRUE
13113003500,13113,"35","まるやまちょういせき","円山町遺跡","渋谷区 円山町","[古墳時代]","集落","[古墳時代]住居","土師器　軽石",139.6944735,35.65648434,TRUE
13113003600,13113,"36","","渋谷区No.36遺跡","渋谷区 道玄坂一丁目","[古墳時代][奈良時代]","横穴墓","","",139.699865,35.65712594,TRUE
13113004000,13113,"40","","渋谷区No.40遺跡","渋谷区 道玄坂二丁目","[古墳時代][奈良時代]","横穴墓","","",139.6964661,35.65983177,TRUE
13113004100,13113,"41","","渋谷区No.41遺跡","渋谷区 桜丘町","[古墳時代][奈良時代]","横穴墓","","",139.7021496,35.65614244,TRUE
13113004500,13113,"45","","渋谷区No.45遺跡","渋谷区 鶯谷町","[古墳時代][奈良時代]","横穴墓","","",139.7039349,35.65424548,TRUE
13113004700,13113,"47","","渋谷区No.47遺跡","渋谷区 鶯谷町","[古墳時代][奈良時代]","横穴墓","","",139.7025616,35.65251587,TRUE
13113004800,13113,"48","","渋谷区No.48遺跡","渋谷区 猿楽町","[古墳時代][奈良時代]","横穴墓","4基","",139.7046902,35.65307382,TRUE
13113005000,13113,"50","さるがくづか（きたづか）","猿楽塚(北塚)","渋谷区 猿楽町","[古墳時代]","古墳","※遺跡範囲のすべてが、No.51猿楽塚（南塚）とともに渋谷区指定史跡猿楽塚となっています。 円墳","",139.7003643,35.64802429,TRUE
13113005100,13113,"51","さるがくづか（みなみづか）","猿楽塚(南塚)","渋谷区 猿楽町","[古墳時代]","古墳","※遺跡範囲のすべてが、No.50猿楽塚（北塚）とともに渋谷区指定史跡猿楽塚となっています。 円墳","",139.700742,35.6476616,TRUE
13113005500,13113,"55","","渋谷区No.55遺跡","渋谷区 恵比寿南一丁目","[古墳時代]","古墳","円墳","",139.7101266,35.64570088,TRUE
13113005600,13113,"56","しぶやづかこふん","渋谷塚古墳","渋谷区 恵比寿南一丁目","[古墳時代]","古墳","円墳","",139.7095997,35.64448106,TRUE
13113005800,13113,"58","とよさわかいづか","豊沢貝塚","渋谷区 恵比寿二丁目","[縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][平安時代]","集落・貝塚","[縄文時代]住居　土坑　埋甕　陥穴　墓壙　掘立柱建物　[平安時代]掘立柱建物","縄文土器　打製石斧　磨製石斧　石鏃　石皿　磨石　石剣　土偶　砥石　土師器　弥生土器　須恵器　縄文人骨",139.720998,35.64621084,TRUE
13113006200,13113,"62","かけづかこふん","加計塚古墳","渋谷区 恵比寿四丁目","[古墳時代]","古墳","円墳","",139.7143719,35.64462056,TRUE
13113006400,13113,"64","","渋谷区No.64遺跡","渋谷区 渋谷一丁目","[古墳時代][奈良時代]","横穴墓","","",139.7036458,35.66139007,TRUE
13113006500,13113,"65","","渋谷区No.65遺跡","渋谷区 渋谷二丁目","[古墳時代][奈良時代]","横穴墓","2基","",139.7032338,35.6597164,TRUE
13113006800,13113,"68","","渋谷区No.68遺跡","渋谷区 渋谷三丁目　東一丁目","[古墳時代][奈良時代]","横穴墓","","",139.7071081,35.65605076,TRUE
13113007200,13113,"72","","渋谷区No.72遺跡","渋谷区 東四丁目","[古墳時代][奈良時代]","横穴墓","","小玉",139.7128073,35.65761292,TRUE
13113007700,13113,"77","","渋谷区No.77遺跡","渋谷区 広尾二丁目","[古墳時代][奈良時代]","横穴墓","","",139.7148182,35.65120469,TRUE
13113007800,13113,"78","","渋谷区No.78遺跡","渋谷区 広尾二丁目","[古墳時代]","古墳","円墳2基","",139.7170498,35.65128839,TRUE
13113008100,13113,"81","","渋谷区No.81遺跡","渋谷区 代々木四丁目","[古墳時代]","古墳","","",139.6897185,35.68206753,TRUE
13113009400,13113,"94","","渋谷区No.94遺跡","渋谷区 神南二丁目","[縄文時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　須恵器",139.6987766,35.66623784,TRUE
13113009500,13113,"95","せいしんじょしだいがくこうないこふん","聖心女子大学構内古墳","渋谷区 広尾四丁目","[古墳時代]","古墳","円墳","",139.720174,35.65193003,TRUE
13113009700,13113,"97","えびすいせき","恵比寿遺跡","渋谷区 恵比寿四丁目","[旧石器時代][縄文時代][古墳時代][近世]","集落","[縄文時代]土坑　[古墳時代]住居　[近世]土坑　溝","ナイフ形石器　掻器　剥片　縄文土器　打斧　石槍　土師器　陶磁器　砥石　玩具　人形",139.7135822,35.64322554,TRUE
13114001300,13114,"13","","中野区No.13遺跡","中野区 大和町四丁目","[古墳時代]","包蔵地","","土師器",139.6461376,35.71430874,TRUE
13114003600,13114,"36","","中野区No.36遺跡","中野区 江原町二丁目","[縄文時代（後期）][古墳時代]","包蔵地","","縄文土器　石鏃　石片　石斧　石皿　土師器",139.6708783,35.73038265,TRUE
13114004200,13114,"42","かたやまにしいせき","片山西遺跡","中野区 松が丘一丁目","[古墳時代][奈良時代]","包蔵地","","",139.67115,35.7183753,TRUE
13114004700,13114,"47","ぬまぶくろちょうひかわじんじゃふきんいせき","沼袋町氷川神社付近遺跡","中野区 沼袋一丁目","[縄文時代（中期〜後期）][弥生時代][古墳時代][奈良時代]","集落","[時代不明]竪穴住居跡","縄文土器　石器　弥生土器　土師器　須恵器　蔵骨器　鉄滓",139.6667898,35.71985262,TRUE
13114005300,13114,"53","へいわのもりこうえんきたいせき","平和の森公園北遺跡","中野区 新井三丁目　 新井四丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代][古墳時代][近世]","集落","[縄文時代]竪穴住居跡　土坑　小形円形竪穴　[弥生時代]竪穴住居跡　土坑　[古墳時代]竪穴住居跡　溝　[近世]空堀　方形竪穴","縄文土器　弥生土器　炭化物　土師器　滑石製紡錘車　陶磁器　高田徳利　キセル　燈明皿　擂り鉢　寛永通宝　ミニチュア製品",139.6622065,35.71639621,TRUE
13114006000,13114,"60","","中野区No.60遺跡","中野区 中野二丁目","[古墳時代]","包蔵地","","土師器",139.6713708,35.70412632,TRUE
13114006500,13114,"65","","中野区No.65遺跡","中野区 東中野五丁目","[古墳時代][奈良時代]","包蔵地","[古墳時代]横穴","人骨",139.689224,35.708805,TRUE
13114006600,13114,"66","とうやまこふんぐんいせき","塔山古墳群","中野区 中央一丁目","[古墳時代]","古墳","","鉄釘　直刀",139.6838773,35.6989713,TRUE
13114007200,13114,"72","じょうがんじいせき","成願寺遺跡","中野区 本町二丁目","[古墳時代][奈良時代]","包蔵地","[古墳時代][奈良時代]横穴墓","",139.6802724,35.6942035,TRUE
13114007700,13114,"77","","中野区No.77遺跡","中野区 本町五丁目","[古墳時代][奈良時代]","包蔵地","[古墳時代][奈良時代]横穴墓","",139.670213,35.69333913,TRUE
13114008100,13114,"81","むこうだいよこあなぼぐん","向台横穴墓群","中野区 弥生町一丁目","[古墳時代][奈良時代]","横穴墓","[古墳時代][奈良時代]横穴墓","",139.6796544,35.69080174,TRUE
13114008200,13114,"82","やよいちょうにちょうめいせき","弥生町二丁目遺跡","中野区 弥生町二丁目","[縄文時代（中期）][古墳時代]","集落","[古墳時代]竪穴住居跡","縄文土器　石鏃　石皿　石棒　弥生土器　土師器　砥石",139.6705907,35.69018829,TRUE
13114008300,13114,"83","かわしまちょう","川島町遺跡","中野区 弥生町三丁目　 弥生町四丁目","[縄文時代（後期）][弥生時代][古墳時代]","集落","[弥生時代]竪穴住居跡","縄文土器　石斧　弥生土器　土師器",139.6739896,35.68935176,TRUE
13114008400,13114,"84","なかのしんめいしょうがっこうこうてい（しんめいちょうひかわじんじゃ）","中野神明小学校校庭（神明町氷川神社）遺跡","中野区 弥生町四丁目","[縄文時代（後期〜晩期）][古墳時代][近世]","集落","[古墳時代]竪穴住居跡　[近世]墓壙","縄文土器　打製石斧　石鏃　土師器　炭化物　陶磁器　人歯",139.6704534,35.68784599,TRUE
13114008600,13114,"86","ふじみだい（だいごこうとうじょしこう）（とりつふじこうこう）いせき","富士見台（第五高等女子校）（都立富士高校内）遺跡","中野区 弥生町五丁目","[縄文時代（早期〜中期）][弥生時代][古墳時代]","集落","[縄文時代]竪穴住居跡　[古墳時代]環濠　5軒","縄文土器　打製石斧　石鏃　石皿　凹石　石棒　弥生土器　土師器　鉄製品　瑪瑙製勾玉　土製品　紡錘車　砥石　鉄滓",139.6678098,35.68988157,TRUE
13114009300,13114,"93","むかいだい（ひろまち）せき","向田（広町）遺跡","中野区 弥生町六丁目　 南台五丁目","[旧石器時代][縄文時代（後期）][弥生時代][古墳時代]","集落","[古墳時代]竪穴住居跡","土師器　須恵器　支脚形土製品　玉類　縄文土器　石掻　弥生土器　土錘　獣魚骨",139.6613553,35.6853642,TRUE
13114010200,13114,"102","ひかわじんじゃふきんこふん","氷川神社付近古墳","中野区 沼袋一丁目","[古墳時代]","古墳","","鉄刀",139.6676138,35.71890491,TRUE
13115000300,13115,"3","いぐさせきしーちてん","井草遺跡C地点","杉並区 上井草三丁目","[旧石器時代][縄文時代（早期・中期）][古墳時代][近世]","包蔵地","[旧石器時代]ブロック　礫群　[縄文時代]炉穴　遺物集中部　[近世]溝状遺構　土坑","ナイフ形石器　台形石器　縄文土器　敲石　土師器　磁器　陶器",139.6024605,35.72136304,TRUE
13115000400,13115,"4","いぐさいせき","井草遺跡","杉並区 上井草四丁目","[旧石器時代][縄文時代（草創期〜早期）][古墳時代]","包蔵地　集落","[縄文時代]住居　土坑","[縄]縄文土器　斧形石器　敲石　特殊磨石　石皿",139.5971733,35.71977425,TRUE
13115000700,13115,"7","","杉並区No.7遺跡","杉並区 下井草一丁目","[縄文時代（中期）][弥生時代][古墳時代]","包蔵地","","縄文土器　弥生土器　土師器",139.6310869,35.71734835,TRUE
13115001400,13115,"14","いぐさはちまんいせき","井草八幡遺跡","杉並区 善福寺一丁目","[縄文時代（中期・後期）][古墳時代]","集落","[縄文時代]住居","縄文土器　打斧　石鏃　土師器",139.5958,35.7160112,TRUE
13115001800,13115,"18","","杉並区No.18遺跡","杉並区 清水三丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器　須恵器",139.6208559,35.71640061,TRUE
13115002200,13115,"22","","杉並区No.22遺跡","杉並区 本天沼二丁目","[古墳時代]","包蔵地","","土師器",139.6255937,35.71623336,TRUE
13115002400,13115,"24","むかいまちいせき","向井町遺跡","杉並区 本天沼三丁目","[縄文時代（後期）][古墳時代]","集落","[縄文時代]住居　[古墳時代]住居","縄文土器　打斧　石皿　土錘　土偶　土師器",139.6233278,35.71634486,TRUE
13115002500,13115,"25","こやまいせき","小山遺跡","杉並区 阿佐谷北五丁目","[縄文時代（後期）][古墳時代][奈良時代]","包蔵地","","縄文土器　打斧　磨斧　石鏃　土師器",139.639848,35.70806899,TRUE
13115003700,13115,"37","かわなみいせき","川南遺跡","杉並区 荻窪二丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代]","包蔵地","","縄文土器　土師器　ナイフ形石器　掻器　石核　剥片",139.6222201,35.69617963,TRUE
13115004300,13115,"43","","杉並区No.43遺跡","杉並区 成田西二丁目","[古墳時代]","包蔵地","","土師器",139.6271064,35.69016785,TRUE
13115004400,13115,"44","くまのじんじゃみなみいせき","熊野神社南遺跡","杉並区 成田西三丁目","[縄文時代（早期・中期）][古墳時代][近世]","集落","[古墳時代]住居[近世]溝　ピット","[縄文時代]縄文土器　打斧[古墳時代]土師器　鉄製品[近世]土器",139.6317909,35.69291291,TRUE
13115004500,13115,"45","くまのじんじゃいせき","熊野神社遺跡","杉並区 成田西三丁目","[縄文時代（早期〜後期）][弥生時代][古墳時代]","集落","[縄文時代]住居　[古墳時代]住居","縄文土器　打斧　磨斧　石槍　石鏃　土師器",139.6323745,35.69408399,TRUE
13115004600,13115,"46","やといせき","谷戸遺跡","杉並区 成田西三丁目","[縄文時代（前期〜後期）][古墳時代]","集落","[縄文時代]住居","縄文土器　打斧　磨斧　石匙　石錐　石錘　石皿　凹石　土師器　硬玉製管玉",139.6241005,35.69135144,TRUE
13115004700,13115,"47","やくらだいみなみいせき","矢倉台南遺跡","杉並区 成田西四丁目　 荻窪一丁目","[縄文時代（草創期〜後期）][弥生時代][古墳時代][中世]","集落","[古墳時代]住居　[縄文時代]住居跡　[中世]溝状遺構","縄文土器　打斧　石鏃　石匙　石皿　弥生土器　土錘　土師器　有舌尖頭器　翡翠製石製品　須恵器　陶器　礫石器",139.626538,35.69360999,TRUE
13115004800,13115,"48","やくらだいいせき","矢倉台遺跡","杉並区 成田西四丁目","[縄文時代（中期）]［古墳時代］","包蔵地　集落","[古墳時代]住居　環濠　ピット","縄文土器　打斧　土師器　土錘　支脚",139.6295329,35.69541052,TRUE
13115004900,13115,"49","なりむねしらはたいせき","成宗白幡遺跡","杉並区 成田東一丁目　 成田東二丁目","[縄文時代（早期〜中期）][古墳時代]","集落","[古墳時代]住居","縄文土器　打斧　土師器",139.6368015,35.68738653,TRUE
13115005600,13115,"56","","杉並区No.56遺跡","杉並区 大宮二丁目","[旧石器時代][古墳時代]","集落","[旧石器時代]礫群","土師器",139.6425349,35.6828969,TRUE
13115005900,13115,"59","まつのきいせき","松ノ木遺跡","杉並区 松ノ木一丁目","[縄文時代（中期）][弥生時代][古墳時代]","集落","[不]住居","縄文土器　石斧　石鏃　凹石　土錘　土偶　炭化米　炭化材　弥生土器　土師器　支脚",139.6411273,35.68641055,TRUE
13115006000,13115,"60","ほうなんちょうみねいせきぐん（ほうなんみね・みねみなみ・ほうなん・みね・かまでらひがし・かまでら）いせき","方南町峰遺跡群（方南峰・峰南・方南・峯・釜寺東・釜寺）遺跡","杉並区 堀ノ内一丁目　 方南二丁目","[旧石器時代][縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][奈良時代][近世]","集落","[旧石器時代]ブロック　礫群　[縄文時代]住居　炉穴　遺物集中部　炉跡　[弥生時代]住居　環濠　[古墳時代]住居　[近世]溝状遺構　地下室　地下坑","ナイフ形石器　彫器　スクレイパー　敲石　石核　剥片　縄文土器　土製蓋　ミニチュア土器　土偶　打製石斧　磨製石斧石鏃　石錘　石皿　磨石　凹石　石棒　炭化材　炭化米　弥生土器　ガラス小玉　砥石　土師器　須恵器　支脚　紡錘車　鉄環　磁器　陶器",139.6573439,35.68350464,TRUE
13115006100,13115,"61","","杉並区No.61遺跡","杉並区 堀ノ内一丁目","[古墳時代]","包蔵地","","土師器",139.6498653,35.68686371,TRUE
13115006200,13115,"62","せいびだいいせき","済美台遺跡","杉並区 大宮一丁目　 堀ノ内一丁目","[旧石器時代][縄文時代（草創期〜後期）][弥生時代][古墳時代][奈良時代]","集落","[旧石器時代]礫群　[縄文時代]住居　[弥生時代]周溝(方形周溝墓?)　杉並125参照","剥片　縄文土器　打斧　石鏃　石槍　石匙　土錘　土偶　弥生土器　滑石製勾玉　土師器　須恵器　炭化物",139.6471873,35.68778392,TRUE
13115006500,13115,"65","ほりのうちなかどおりいせき","堀ノ内中通遺跡","杉並区 堀ノ内二丁目","[縄文時代（中期）][弥生時代][古墳時代][奈良時代][平安時代]","包蔵地","[縄文時代]住居","縄文土器　土師器　須恵器",139.6512671,35.68721345,TRUE
13115006600,13115,"66","","杉並区No.66遺跡","杉並区 堀ノ内二丁目","[縄文時代（後期）][古墳時代]","包蔵地","","縄文土器　打斧　土師器",139.6469069,35.69053171,TRUE
13115006800,13115,"68","ほんむらはらいせきしーちてん","本村原遺跡C地点","杉並区 和田一丁目","[縄文時代（早期〜後期）][弥生時代（後期）][古墳時代][平安時代][近世]","包蔵地・集落","[縄文時代]陥穴　[弥生時代]住居　[平安時代]住居　[近世]土坑　溝　植栽跡　段切り状遺構","縄文土器　弥生土器　埴輪　土師器　須恵器　陶磁器　炉器　土器　瓦　土製品　石製品　金属製品　銭貨　ガラス製品",139.662614,35.69361621,TRUE
13115007000,13115,"70","","杉並区No.70遺跡","杉並区 和田二丁目","[古墳時代][奈良時代]","横穴墓","1基","人骨",139.6559706,35.68818942,TRUE
13115007100,13115,"71","わだちゅうがっこういせき","和田中学校遺跡","杉並区 和田二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　石鏃　土師器",139.6595412,35.68958365,TRUE
13115007200,13115,"72","ほんじんやまいせき","本陣山遺跡","杉並区 堀ノ内二丁目　和田二丁目","[縄文時代（早期〜中期）][弥生時代（後期）][古墳時代][中世][近世]","集落","[縄文時代]炉穴　集石　土坑　ピット　[弥生時代]住居跡　[中世][近世]掘立柱建物","（旧石器）敲石　剥片類　（縄文）土器　土製円板　（弥生）土器　ガラス小玉　（古墳時代以降）土師器　砥石　鉄環　カワラケ　陶磁器　鉄器など",139.653824,35.685158,TRUE
13115007800,13115,"78","なかふくろ（やまなか）いせき","中袋（山中）遺跡","杉並区 高井戸西一丁目","[縄文時代（中期〜晩期）][古墳時代][中世]","集落","[縄文時代]住居跡　土坑　[古墳時代]住居跡　[中世]地下式土坑","縄文土器　石斧　石鏃　石製品　土製品　土師器",139.6136958,35.68203241,TRUE
13115008000,13115,"80","","杉並区No.80遺跡","杉並区 高井戸西二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器",139.6100223,35.6847374,TRUE
13115008400,13115,"84","","杉並区No.84遺跡","杉並区 下高井戸三丁目","[縄文時代（中期〜後期）][古墳時代]","包蔵地","","縄文土器　土師器",139.6317755,35.67527635,TRUE
13115009000,13115,"90","","杉並区No.90遺跡","杉並区 永福二丁目","[古墳時代]","包蔵地","","土師器　須恵器",139.6397921,35.67290192,TRUE
13115009200,13115,"92","ねがわらいせき","根河原遺跡","杉並区 和泉三丁目","[旧石器時代][縄文時代（早期・後期）][古墳時代]","集落","[旧石器時代]ブロック　[古墳時代]住居　[縄文時代]土坑　炉跡","縄文土器　打斧　石棒　土師器　鋸歯　縁石器　尖頭状石器　剥片　石斧",139.647891,35.67707286,TRUE
13115009300,13115,"93","","杉並区No.93遺跡","杉並区 和泉四丁目","[古墳時代]","集落","[古墳時代]住居","土師器",139.6521941,35.67940522,TRUE
13115011000,13115,"110","たかいどひがしいせき","高井戸東遺跡","杉並区 高井戸西二丁目　 高井戸東三丁目","[旧石器時代][縄文時代（草創期〜後期）][古墳時代][中世][近世]","集落","[旧石器時代]ブロック　[縄文時代]陥し穴　[古墳時代]住居　[中世]地下式坑　段切り状遺構　土坑　ピット　溝状遺構","ナイフ形石器　台形石器　スクレイパー　局部磨製石斧　敲石　石棒　剥片　縄文土器　弥生土器　土師器　須恵器　陶器　瓦質土器　瓦",139.6161334,35.68459797,TRUE
13115011200,13115,"112","","杉並区No.112遺跡","杉並区 高円寺南二丁目","［縄文時代（中期）］[古墳時代][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　陶磁器",139.6531316,35.70027406,TRUE
13115011500,13115,"115","","杉並区No.115遺跡","杉並区 上井草三丁目","[旧石器時代][縄文時代（中期〜後期）][古墳時代]","包蔵地","","ナイフ形石器　縄文土器　土師器",139.5996452,35.72072195,TRUE
13115011900,13115,"119","むかいのはらびーいせき","向ノ原B遺跡","杉並区 久我山二丁目","[旧石器時代][縄文時代（草創期〜後期）][古墳時代]","集落","[旧石器時代]礫群　[縄文時代]住居　竪穴状遺構　炉穴　土坑　柱穴群","ナイフ形石器　切出形石器　角錐状石器　石核　縄文土器　打斧　礫器　石槍　有舌尖頭器　尖頭状石器　石鏃　掻器　削器　磨石　スタンプ形石器　抉入磨石　凹石　砥石　石盤　土製品",139.6006496,35.68621535,TRUE
13115012000,13115,"120","","杉並区No.120遺跡","杉並区 久我山三丁目","[古墳時代]","包蔵地","","土師器",139.5967121,35.68603889,TRUE
13115012400,13115,"124","まつのききたいせき","松ノ木北遺跡","杉並区 松ノ木一丁目","[縄文時代（中期）][古墳時代][中世]","集落跡","[古墳時代]住居跡[中世]地下式土坑","[縄文時代]縄文土器　打斧[古墳時代]土師器",139.6430156,35.68886443,TRUE
13115012900,13115,"129","にっしょうじいせきびーちてん","日性寺遺跡B地点","杉並区 成田西二丁目","[旧石器時代][縄文時代（中期）][弥生時代][古墳時代][近世]","集落","[縄文時代]土坑　[古墳時代]住居　[不]ピット群","掻器　縄文土器　石皿　磨石　弥生土器　土師器　土玉　陶磁器",139.628926,35.68857844,TRUE
13115013000,13115,"130","","杉並区No.130遺跡","杉並区 成田西三丁目","[古墳時代]","包蔵地","","土師器",139.6310012,35.69168604,TRUE
13115013200,13115,"132","","杉並区No.132遺跡","杉並区 久我山三丁目","[古墳時代]","包蔵地","[古墳時代]溝状遺構","土師器　土錘",139.5960597,35.68896682,TRUE
13115013600,13115,"136","","杉並区No.136遺跡","杉並区 和泉四丁目","[古墳時代]","包蔵地","","土師器",139.656211,35.6790148,TRUE
13115013900,13115,"139","","杉並区No.139遺跡","杉並区 井草五丁目","[古墳時代]","包蔵地","","土師器",139.6039389,35.72634862,TRUE
13115014600,13115,"146","","杉並区No.146遺跡","杉並区 上井草一丁目","[古墳時代]","包蔵地","","土師器",139.6119384,35.72060689,TRUE
13115014700,13115,"147","","杉並区No.147遺跡","杉並区 下井草五丁目","[古墳時代]","包蔵地","","土師器",139.6147537,35.72004576,TRUE
13115015100,13115,"151","","杉並区No.151遺跡","杉並区 井草一丁目","[縄文時代][古墳時代]","包蔵地","","縄文土器　土師器",139.6232935,35.72874825,TRUE
13115015700,13115,"157","","杉並区No.157遺跡","杉並区 阿佐谷北二丁目","[古墳時代]","包蔵地","","土師器",139.6350758,35.70611752,TRUE
13115016000,13115,"160","あさがやほんむら","阿佐谷本村遺跡","杉並区 阿佐谷北一丁目","[旧石器時代][縄文時代（中期～後期）][古墳時代][近世]","包蔵地","[旧石器時代]石器集中部[縄文時代]土坑　ピット[近世]地下室　土坑　ピット","[旧石器時代]ナイフ形石器[縄文時代]縄文土器[古墳時代]土師器[近世]陶磁器　土器",139.6374104,35.70698175,TRUE
13115016200,13115,"162","","杉並区No.162遺跡","杉並区 阿佐谷南一丁目","[古墳時代][奈良時代][平安時代]","包蔵地","","土師器",139.6417706,35.6995658,TRUE
13115016500,13115,"165","","杉並区No.165遺跡","杉並区 高円寺南一丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器",139.6561528,35.69915883,TRUE
13115016700,13115,"167","","杉並区No.167遺跡","杉並区 永福二丁目","[縄文時代（中期）][古墳時代]","包蔵地","","縄文土器　土師器",139.6373202,35.67348761,TRUE
13115016800,13115,"168","","杉並区No.168遺跡","杉並区 永福一丁目","[縄文時代（早期〜中期）][古墳時代][奈良時代][平安時代][近世]","包蔵地","","縄文土器　土師器　須恵器",139.6440401,35.67227754,TRUE
