"JASID","LGC","Site_no","SiteName_furigana","SiteName_original","Address","Chronology","SiteType","ArchaeologicalFeatures","MajorArtefacts","Lon","Lat","J"
13105011700,13105,"117","せんだぎごちょうめいせき","千駄木五丁目遺跡","文京区 千駄木五丁目","[縄文時代（中期）][弥生時代（後期）][近世]","その他（町屋）","[近世]大型土坑　土坑　ピット","（縄文）土器　（弥生）土器　（近世）陶磁器・瓦",139.7595337,35.72526919,TRUE
13105011800,13105,"118","こひなたいち・にちょうめみなみいせき","小日向一・二丁目南遺跡","文京区 小日向一丁目　小日向二丁目","[縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・その他の墓・社寺・屋敷・その他（町屋）","[古墳時代]堅穴住居跡　炉跡　土坑など　[近世]土坑　甕棺墓　木棺墓　土器棺墓　蔵骨器　直葬墓　便所跡　建物基礎跡　神田上水　盛土","（縄文）土器　（古墳）土師器・須恵器　（古代）土師器・須恵器　（中世）陶器・土器　（近世）陶磁器・人骨・土器・金属製品・木製品・甕棺・墓石・間知石・胴木など",139.739594,35.712051,TRUE
13105011900,13105,"119","せんごくいっちょうめみなみいせき","千石一丁目南遺跡","文京区 千石一丁目","[縄文時代][近世]","包蔵地・屋敷","[近世]地下室　土坑　井戸　溝　植栽痕　小穴","（縄文）土器　（近世）陶磁器・せっ器・土器・瓦・土製品・金属製品・銭貨・石製品など",139.7431421,35.72471,TRUE
13105012300,13105,"123","こいしかわしょくぶつえんにしいせき","小石川植物園西遺跡","文京区 白山三丁目","[縄文時代][中世][近世]","包蔵地･屋敷","[近世]石積遺構　土坑　小穴　溝状遺構","[縄文]土器　石製品(石棒)　[古墳]土師器　[近世]磁器　陶器　せっ器　土器　土製品(人形)　瓦　石製品　銅製品(煙管) 木製品(板材等)　銭貨(寛永通宝等)",139.7432795,35.7191354,TRUE
13105012600,13105,"126","こいしかわしょくぶつえんみなみいせき","小石川植物園南遺跡","文京区 白山三丁目","[旧石器時代][縄文時代][弥生時代][中世][近世]","包蔵地","[近世]地下室　土取り穴　土坑　井戸　溝状遺構","石器　縄文土器　弥生土器　陶器　磁器　近世土器　土製品　瓦　金属製品　石製品",139.747262,35.71802044,TRUE
13105012700,13105,"127","ほんごうさんちょうめみなみいせき","本郷三丁目南遺跡","文京区 本郷三丁目","[縄文時代][奈良時代][平安時代][中世][近世]","包蔵地･屋敷","[縄文時代]柱穴　[奈良・平安時代]柱穴　[近世]地下室　土坑等","縄文土器　陶磁器　土師器",139.7625399,35.70243713,TRUE
13105012900,13105,"129","こひなたいっちょうめひがしいせき","小日向一丁目東遺跡","文京区 小日向一丁目","［縄文時代］［弥生時代］［古墳時代］［奈良時代］［平安時代］［中世］［近世］","包蔵地・集落・その他の墓・屋敷","［縄文時代］ファイヤーピット?　［弥生時代］?［古墳時代］竪穴住居跡　［奈良時代］［平安時代］竪穴住居跡　土坑　［近世］地下室　溝状遺構　土坑　柱穴","［縄文時代］土器片　［弥生時代］土器片　［奈良時代］［平安時代］土師器　須恵器　石製品　［近世］陶磁器　土器　瓦　石製品　金属製品　土製品　炉器",139.7382326,35.71367191,TRUE
13105013100,13105,"131","こいしかわさんちょうめひがしいせき","小石川三丁目東遺跡","文京区 小石川三丁目","［縄文時代（早期・中期）］［弥生時代］[古墳時代][奈良時代]［近世］","包蔵地・集落・その他の墓・社寺・町家","[古墳?奈良時代]竪穴建物跡 溝 小穴［近世］埋甕 土坑 溝 井戸 植栽痕 小穴 土坑 根石 杭 埋桶 筏地業木組み","［縄文時代］土器　黒曜石剥片　［弥生時代］土器　［奈良時代］［平安時代］土師器 須恵器 土製品　［近世］陶磁器　土器　炉器 瓦 土製品 金属製品",139.7500773,35.71286351,TRUE
13105013300,13105,"133","ほんこまごめろくちょうめきたいせき","本駒込六丁目北遺跡","文京区 本駒込六丁目","［縄文時代］［近世］","包蔵地・屋敷","［縄文時代］ピット　［近世］ピット","［近世］陶磁器",139.7430392,35.73401872,TRUE
13105013400,13105,"134","こひなたいっちょうめきたいせき","小日向一丁目北遺跡","文京区 小日向一丁目","［縄文時代］［古墳時代］［奈良時代］［平安時代］［近世］","包蔵地・屋敷","","［縄文時代］土器片　［古墳］土師器　［古代］土師器　須恵器　［近世］陶磁器　土器　せっ器　瓦　金属製品",139.73734,35.71464756,TRUE
13105013800,13105,"138","こいしかわいっちょうめいせき","小石川一丁目遺跡","文京区 小石川一丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","屋敷　その他（水田跡）","[弥生]流路　木組遺構　溝状遺構　[古墳]溝状遺構　土坑　[奈良・平安]溝状遺構　土坑　[中世]流路　溝　水田跡　[近世]土坑　溝状遺構　井戸　上水施設　池跡　ピット　水田跡　区画溝　排水溝","[縄文]土器　[弥生]土器　石器　木製品　加工材　構造物部材　大型植物遺体　[古墳]土師器　木製品　構造物部材　[奈良・平安]土師器　須恵系土師質土器　須恵器　[中世]土器　陶器　[近世]磁器　陶器　炻器　土器　互　土製品　金属製品　木製品(繊維製品)　骨角貝製品　ガラス製品　石製品　自然遺物　土類",139.7524462,35.710494,TRUE
13106000100,13106,"1","りょうげんじかいづか","領玄寺貝塚","台東区 谷中四丁目","[縄文時代（中期〜後期）][近世]","包蔵地・貝塚","","縄文土器　石斧　石鏃　石錐　砥石　陶磁器",139.7664873,35.72277819,TRUE
13106000200,13106,"2","てんのうじかいづか","天王寺貝塚","台東区 谷中七丁目","[縄文時代（後期）][古墳時代]","包蔵地・貝塚","","縄文土器　土師器",139.7723925,35.72591381,TRUE
13106000401,13106,"04-1","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野公園　上野二丁目　池之端三丁目","[旧石器時代][縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][奈良時代][平安時代][中世][近世][近代]","包蔵地・集落・社寺・屋敷・その他の墓・その他（花卉園）","[近世]建物跡　池跡","ナイフ形石器　細石刃　剥片　縄文土器　石器　弥生土器　土師器　須恵器　埴輪　陶器（灰釉）　紡錘車　帯金具　陶磁器　焼塩壺　硯　煙管　木製品　和釘　ガラス製品　瓦塔　瓦　墨書付絹布　簪　笄　数珠玉　小形巻物　甕棺　木棺　墓石　石造物　板碑　人骨",139.7736828,35.71547164,TRUE
13106000404,13106,"04-4","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 谷中七丁目","[縄文時代][近世]","包蔵地・社寺","","縄文土器・貝　近世陶磁器",139.7736284,35.72539818,TRUE
13106000405,13106,"04-5","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・貝塚・社寺","[旧石器時代]〜[中世]礫群　陥穴　ピット群　土杭　貝塚　[近世]地下式土杭　井戸　溝　瓦留　墓杭","縄文〜古代土器　近世陶磁器瓦・石造物　旧石器〜中世礫・縄文土器・土師器・須恵器・陶器・土器　近世陶磁器・土器類・人骨",139.7701043,35.72060734,TRUE
13106000407,13106,"04-7","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 谷中七丁目　上野桜木二丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・社寺","[奈良・平安]住居跡　[近世]溝状・道路状遺構　瓦溜　土坑","[縄文・弥生〜古墳]土器　[奈良・平安]土師器、須恵器　[近世]陶磁器、土器、金属製品",139.7724904,35.72336676,TRUE
13106000408,13106,"04-8","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木一丁目","[旧石器時代][縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺","","旧石器時代石器　古墳時代　土師器・石製品（玉類他）　奈良・平安時代　土師器・須恵器　中世陶磁器　近世陶磁器・瓦",139.7754773,35.72326921,TRUE
13106000409,13106,"04-9","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木二丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・社寺","[古墳時代]住居跡","縄文土器　古墳土師器　近世陶磁器・瓦・鉄製品",139.7745332,35.72296261,TRUE
13106000412,13106,"04-2","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 谷中七丁目","[縄文時代][弥生時代][奈良時代][平安時代][近世]","包蔵地・集落・社寺","[弥生時代]溝・住居跡","縄文弥生土器・須恵器　近世陶磁器",139.7730448,35.72482681,TRUE
13106000413,13106,"04-3","うえのしのぶがおかいせきぐん","上野忍岡遺跡群","台東区 上野桜木二丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","包蔵地・社寺","[近世]土杭","（古墳時代〜古代）土師器・灰釉陶器　（近世）陶磁器・土器・瓦",139.7742757,35.72312985,TRUE
13106000600,13106,"6","しんざかかいづか","新坂貝塚","台東区 上野桜木一丁目　上野公園","[縄文時代（後期）][弥生時代（後期）]","貝塚","","縄文土器　磨斧　貝輪　弥生土器",139.7788419,35.719799,TRUE
13106000801,13106,"08-1","せんそうじいせき","浅草寺遺跡","台東区 浅草一丁目　浅草二丁目","[縄文時代（晩期）][弥生時代][奈良時代][平安時代][中世][近世][近代]","包蔵地・集落・社寺・その他（火除地・公園地）","練塀跡　溝跡　火葬墓　井戸　杭列　池跡　井戸跡　土坑　貝殻廃棄　大型土坑　池跡（護岸・中ノ島・築堤・橋）","縄文式土器　弥生式土器　須恵器　布目瓦　中世軒瓦　陶器　古銭　（奈良）鉄鉢形土器・花瓶　（平安）灰釉水瓶　（鎌倉）灰釉土器　錫杖　光背　観音像　（古代）土師器　須恵器　（中世）瓦・陶磁器・土器・蔵骨器・板碑　（近世）陶磁器・瓦・ガラス絵　（近代）陶磁器、金属　ガラス　革製品",139.794425,35.7116722,TRUE
13106001000,13106,"10","ゆしま（きりどおしきた）かいづか","湯島（切通し北）貝塚","台東区 池之端一丁目","[縄文時代（前期〜晩期）]","貝塚","","縄文土器　石鏃　唐製石斧　石皿　石剣　耳飾　土版　骨針　貝輪　人骨　獣骨　打製石斧　縄文（前・後・?）土器　骨首器（ヘアピン）　貝",139.7675451,35.70926132,TRUE
13106001900,13106,"19","いけのはたしちけんちょういせき","池之端七軒町遺跡","台東区 池之端二丁目","[縄文時代][弥生時代][古墳時代][近世]","包蔵地・社寺・屋敷","建物基礎　基擴　井戸跡　土坑　井戸　基礎桶　植栽痕　竹桶　埋甕　道跡　地下式坑　井戸跡　溝　包衣　埋納遺講　土蔵址　上水施設　石礎　硬化面　石敷　瓦敷","弥生土器　土師　陶器　磁器　土器　木　金属　石製品　石造物　部材　陶磁器　瓦　土器　木製品　金属製品　石製品　ガラス",139.7670473,35.71425123,TRUE
13106003001,13106,"30-1","やなかまじまちょういせき","谷中真島町遺跡","台東区 谷中二丁目","[縄文時代][古墳時代][奈良時代][平安時代][近世]","集落・屋敷","[古墳時代]住居跡","縄文土器　土師器　近世陶磁器",139.7653994,35.72164668,TRUE
13106003002,13106,"30-2","やなかまじまちょういせき","谷中真島町遺跡","台東区 谷中二丁目","[縄文時代（中期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・屋敷","地下式坑","縄文土器　須恵器　陶磁器　金属製品",139.7664293,35.7212704,TRUE
13106003500,13106,"35","かやちょういせき","茅町遺跡","台東区 池之端一丁目","[縄文時代（早期・後～晩期）][弥生時代(後期)][古墳時代][奈良時代][平安時代][近世][近代]","包蔵地・集落・屋敷・その他（邸宅）","[縄文]炉穴、[古墳]貝、廃棄土坑、[平安]住居跡、[近世]石組、井戸跡、溝、地下式坑、[近代]煉瓦基礎","[縄文]土器、石器、[古墳]土師器、須恵器、貝、[近世]陶磁器、土器、瓦、金属、石製品、木製品、[近代]煉瓦、ガラス製品",139.7674765,35.7095401,TRUE
13106003900,13106,"39","やなかさんさきちょういせき","谷中三崎町遺跡","台東区 谷中二丁目　谷中三丁目　谷中四丁目　谷中五丁目　谷中六丁目","[旧石器時代][縄文時代（前期〜中期）][古墳時代][奈良時代][平安時代][近世]","包蔵地・集落・社寺・その他（町屋）","[近世]井戸跡　地下式抗　溝　墓坑地下式抗　[縄文時代]土坑","（旧石器）石器　（縄文）土器　（古墳）土師器　（近世）陶磁器・土器・瓦・木製品・金属製品・ガラス製品・石製品　甕棺・蔵骨器",139.767174,35.72375373,TRUE
13106004700,13106,"47","かみさんさきみなみいせき","上三崎南遺跡","台東区 谷中四丁目","[縄文時代][奈良時代][平安時代][中世][近世]","集落・社寺","[近世以前]土坑　[近世]土坑　溝　地下式土坑","縄文土器　土師器　須恵器　中世石造物　（近世）瓦　陶磁土器類",139.7678949,35.72259702,TRUE
13106006100,13106,"61","","台東区No.61遺跡","台東区 谷中四丁目","[縄文時代][近世]","包蔵地・社寺","[近世]土坑","縄文土器　近世陶磁器　瓦",139.7669086,35.72170541,TRUE
13106006200,13106,"62","したやどうほうちょういせき","下谷同朋町遺跡","台東区 上野三丁目","[縄文時代（中期〜後期）][奈良時代][平安時代][中世][近世]","包蔵地・社寺・その他（町屋・道路）","[近世]道路跡　木組溝　溝　上水遺構　土蔵跡　建物跡　石組　礎石　杭跡　地業跡　竹柵　埋桶　胞衣埋納遺構　墓坑　溝状遺構　土坑　ピット","（縄文）土器　（弥生）土器・須恵器　（中世）石製品（板碑）　（近世）磁器・陶器・炉器・土器・瓦類・土製品・木製品・金属製品・銭貨・人骨・動物遺体",139.774209,35.70676593,TRUE
13106006400,13106,"64","とよずみちょういせき","豊住町遺跡","台東区 下谷一丁目","[縄文時代][古墳時代][近世]","包蔵地・社寺・その他（町屋）","土坑　井戸　基礎桶　植栽痕　竹樋　埋甕　道跡　墓坑","縄文土器　石器　陶磁器　墨書木製品　漆器　人骨　位牌　土製　仏像",139.7810062,35.71800054,TRUE
13106007200,13106,"72","やなかしもさんさきいせき","谷中下三崎遺跡","台東区 谷中五丁目","[縄文時代][弥生時代（後期）][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺・屋敷","[縄文時代]土坑　溝　[中世]土坑　[近世]土坑　地下式坑　井戸　溝　植栽痕　礎石　基礎","（縄文）土器　（弥生）土器　（古代）須恵器　土師器　（中世末）陶磁器　土器・瓦　金属製品　石製品等　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品等",139.7671911,35.72509159,TRUE
13106007500,13106,"75","かやちょうにちょうめいせき","茅町二丁目遺跡","台東区 池之端一丁目","[縄文時代][弥生時代][古墳時代][奈良時代][平安時代][中世][近世]","包蔵地・社寺・屋敷・その他（町屋）","[近世]土坑　瓦溜　地下式坑　井戸　石組溝　溝　池　埋甕　埋桶　ピット　植栽　石列　敷石","（縄〜中）縄文土器・弥生土器・土師器・中世陶器・板碑等　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品等",139.7676138,35.71128241,TRUE
13106009700,13106,"97","うえのひろこうじいせき","上野広小路遺跡","台東区 上野一丁目　二丁目","[縄文時代][奈良時代][平安時代][中世][近世]","包蔵地・その他（水路）","[近世]水路　ピット列　松杭","（縄文）土器　（古代）須恵器　（中世）陶器・土器　（近世）陶磁器・土器・瓦・骨角製品・金属製品・石製品等",139.7733395,35.71043263,TRUE
13106010000,13106,"100","なかねぎしいせき","中根岸遺跡","台東区 根岸三丁目","[縄文時代][奈良時代][平安時代][中世][近世]","包蔵地・集落・社寺・その他（農村地）","[近世]土坑　瓦溜　溝　井戸　木組施設　植栽　ピット　杭列　土坑（植栽痕）　礎石基礎","（縄文）土器　（古代）須恵器・土師器　（中世）陶器　（近世）陶磁器・土器・瓦・木製品・金属製品・石製品・ガラス・せっ器・ガラス製品・土製品",139.7814182,35.72382881,TRUE
13106011700,13106,"117","しばさきちょうにちょうめいせき","芝崎町二丁目遺跡","台東区 西浅草三丁目","[縄文時代][近世]","包蔵地・社寺・その他（狩猟場）","[近世]方形土坑　池状遺構　建物基礎　水田跡","縄文土器　近世陶器　磁器　土器　瓦　人骨片　木製品　貝",139.7900897,35.7160342,TRUE
13107000200,13107,"2","","墨田区No.2遺跡","墨田区 立花一丁目","[縄文時代（後期）]","包蔵地","","縄文土器",139.8267159,35.70553135,TRUE
13109000100,13109,"1","かみおおさきかいづか","上大崎貝塚","品川区 上大崎一丁目","[縄文時代]","貝塚","","縄文土器　石器",139.72184,35.6351312,TRUE
13109000200,13109,"2","","品川区No.2遺跡","品川区 東五反田一丁目","[縄文時代？]","包蔵地","","縄文土器?　石器",139.7272116,35.62867904,TRUE
13109000300,13109,"3","","品川区No.3遺跡","品川区 東五反田三丁目","縄文時代（前期）]","包蔵地","","縄文土器",139.728664,35.62745086,TRUE
13109000400,13109,"4","いけだやまきたいせき","池田山北遺跡","品川区 東五反田五丁目","[縄文時代（早期〜中期）][弥生時代（後期）]","包蔵地・貝塚・集落","[縄文時代（早期〜前期）]住居址　炉跡　貝層　[縄文時代]住居跡　炉跡　土坑　[縄文時代（前期）]〜[弥生時代（後期）]竪穴式住居　土坑　[弥生時代]住居跡　炉跡　土坑　溝　[古墳時代]住居跡　土坑","縄文土器　打斧　磨斧　石皿　けつ状耳飾　弥生土器　磁器　燈明皿　擂鉢　動物遺体　打製石斧　耳飾　土器　土師器　石製耳飾",139.7229069,35.63109445,TRUE
13109000500,13109,"5","","品川区No.5遺跡","品川区 東五反田五丁目","[縄文時代]","包蔵地","","縄文土器　打斧　石鏃",139.7240026,35.62985034,TRUE
13109000600,13109,"6","","品川区No.6遺跡","品川区 西五反田一丁目","[縄文時代（中期）]","包蔵地","","縄文土器",139.7229391,35.62535828,TRUE
13109000800,13109,"8","ごてんやまいせき","御殿山遺跡","品川区 北品川五丁目","[縄文時代（前期）][弥生時代][古墳時代][近世]","包蔵地","[弥生]住居跡、土坑、方形周溝墓、[古墳]住居跡、土坑、炉穴、溝、[近世]地下室、ピット、土坑、井戸、用途不明遺構","[縄文]土器、石器、[弥生]土器、[古墳]土師器、須恵器、[近世]陶磁器、土器、瓦",139.7337182,35.62050855,TRUE
13109000900,13109,"9","きりがやいせき","桐ヶ谷遺跡","品川区 西五反田五丁目","[縄文時代（早期）]","包蔵地","","縄文土器",139.7139841,35.62207916,TRUE
13109001000,13109,"10","いるきばしいせき","居木橋遺跡","品川区 大崎二丁目","[縄文時代（早期〜後期）][弥生時代][中世]","集落跡・貝塚","[縄文時代]住居　土坑　ピット　[中世]溝","縄文土器　打斧　磨斧　石皿　耳飾　石棒　骨角製釣針　鯨骨製棒状骨角器　獣魚骨　弥生土器　抉入石斧　陶磁器　動物遺体",139.7245685,35.61720399,TRUE
13109001200,13109,"12","（おおい）ごんげんだいかいづか","(大井)権現台貝塚","品川区 広町二丁目","[縄文時代（後期〜晩期）]","貝塚","","縄文土器　打斧　磨斧　硬玉大珠　石棒　土偶　土版　骨角器　獣骨",139.7343964,35.60833955,TRUE
13109001300,13109,"13","せんだいざかいせき","仙台坂遺跡","品川区 東大井四丁目","[縄文時代（後期）][古墳時代][奈良時代][平安時代][近代]","包蔵地・屋敷・その他（工場跡）","[近世]ピット　土坑　石垣","縄文土器　石器　石弾　土錘　石棒　自然遺物　土師器　陶磁器　瓦　土製品　土錘　鉄製品　煙管　銭貨　ガラス製品　蝋石　獣骨",139.7403673,35.60697621,TRUE
13109001400,13109,"14","さいこうじかいづか","西光寺貝塚","品川区 大井四丁目","[縄文時代（中期〜後期）][古墳時代]","貝塚・包蔵地","","縄文土器　打斧　須恵器",139.7328131,35.60031371,TRUE
13109001500,13109,"15","おおいかしまいせき","大井鹿島遺跡","品川区 大井五丁目","[縄文時代][古墳時代][奈良時代][近世]","包蔵地・集落","[古墳時代][奈良時代]竪穴式住居跡　[近世]土坑　室状遺構","縄文土器　土師器　須恵器　陶磁器　紡錘車　土錘　釘　煙管　銭貨",139.7301397,35.59667274,TRUE
13109001600,13109,"16","おおもりかいづか","大森貝塚","品川区 大井六丁目","[縄文時代（中期〜晩期）]","包蔵地・集落・貝塚","[縄文時代]住居　溝","縄文土器　石斧　石鏃　石皿　磨石　滑車形耳飾　石棒　土偶　土版　骨角器　貝製品　人骨",139.7303114,35.59305438,TRUE
13109002200,13109,"22","かじわらしやかたあと","梶原氏館跡","品川区 東大井三丁目","[縄文時代（中期）]","城館","","",139.7380697,35.60181908,TRUE
13109003000,13109,"30","みつぎいせき","三木遺跡","品川区 西品川三丁目","[縄文時代（早期〜後期）][古墳時代]","包蔵地","溝状遺構　ピット","縄文土器　石器　土師器",139.7289666,35.61491723,TRUE
13110000100,13110,"1","とうきょうだいがくこまばこうないいせき","東京大学駒場構内遺跡","目黒区 駒場三丁目","[旧石器時代][縄文時代（草創期〜早期・中期・晩期）][平安時代][近世]","集落","[旧石器時代]礫群　[縄文時代]住居　集石　　炉穴　土坑　小穴[平安時代]火葬墓　[近世]土坑　小穴","縄文土器　打製石斧　剥片　平安時代土器",139.6851627,35.66038101,TRUE
13110000200,13110,"2","こまばいせき","駒場遺跡","目黒区 駒場二丁目　駒場四丁目","[旧石器時代][縄文時代（早期〜後期）]","包蔵地","[縄文時代]土坑","縄文土器　打斧　石鏃　石皿",139.6804591,35.65884679,TRUE
13110000300,13110,"3","ひかわいせき","氷川遺跡","目黒区 大橋二丁目","［旧石器時代］[縄文時代（早期〜後期）][弥生時代（前期〜後期）][古墳時代][奈良時代][平安時代][中世][近世]［近代］","集落 その他（軍施設）","[縄文時代]土坑　小穴　炉穴　陥穴　[弥生時代〜古墳時代]竪穴住居跡　堀立柱建物跡　土坑　小穴　[平安時代]火葬墓　溝　[近世]溝　土坑　小穴　［近代］煉瓦構造物","縄文土器　剥片　打製石斧　石鏃　スタンプ形石器　磨石　石皿　弥生土器　弥生時代末〜古墳時代初期土器　金属製品　土製品　奈良時代須恵器　平安時代土器　瓦　板状鉄製品　中近世陶磁器　釘　鎹　銭貨　近代陶磁器　ガラス製品　金属製品　銭貨　?　煉瓦",139.6875316,35.65337917,TRUE
13110000400,13110,"4","こまばこうこういせき","駒場高校遺跡","目黒区 大橋二丁目","[縄文時代（中期）]","包蔵地","","縄文土器　石棒",139.6854716,35.65477401,TRUE
13110000500,13110,"5","ひなたいせき","日向遺跡","目黒区 青葉台一丁目　 上目黒一丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石鏃",139.6994455,35.64762793,TRUE
13110000600,13110,"6","おおさかしたいせき","大坂下遺跡","目黒区 青葉台三丁目","[縄文時代（中期）]","包蔵地","","縄文土器　剥片",139.6915147,35.65273328,TRUE
13110000700,13110,"7","きゅうれんぺいじょういせき","旧練兵場遺跡","目黒区 東山一丁目","[縄文時代（中期）]","包蔵地","","縄文土器　石斧　石鏃　土錘　土偶",139.6910341,35.64628877,TRUE
13110000800,13110,"8","ひがしやまかいづかいせき","東山貝塚遺跡","目黒区 東山二丁目　東山三丁目","[旧石器時代][縄文時代（早期〜晩期）][弥生時代（後期）][古墳時代][平安時代][中世][近世][近代]","集落　貝塚　その他（軍施設）","[旧石器時代]礫群　石器ブロック　[縄文時代]竪穴住居跡　土坑　土壙　土器埋設遺構　落し穴　木杭列　植物遺存体集中　小穴　柱穴群　[弥生時代]竪穴住居跡　溝　土坑　[古墳時代]土坑　[中世]溝　[近世]溝　土坑　［近代］地下式遺構　煉瓦構造物　溝","縄文土器　土偶　土製円盤　土器片錘　打製石斧　磨製石斧　弥生土器　古墳時代土器　陶磁器　細石刃　尖頭器　剥片　角錐状石器　削器　石鏃　敲石　石皿　垂飾　掻器　凹石　磨石　砥石　スタンプ形石器　石剣　石錐　石棒　土版　土製勾玉　耳栓　土錘　土玉　弭形角製品　ヤス状刺突具　骨針　浮子 （平安時代）　瓦　（近代）陶磁器　ガラス製品　鉄製品",139.6866739,35.64782322,TRUE
13110000900,13110,"9","からすもりいせき","烏森遺跡","目黒区 上目黒三丁目","[縄文時代（中期〜後期）][弥生時代（後期）]","集落","[縄文時代]竪穴住居跡　[弥生時代]環濠","縄文土器　打製石斧　磨製石斧　石槍　石錐　石錘　石槌　石皿　凹石　石鏃　敲石　弥生土器　土製品　軽石　被熱粘土塊",139.6915834,35.64333137,TRUE
13110001200,13110,"12","しんふじいせき","新富士遺跡","目黒区 中目黒一丁目　中目黒二丁目","[縄文時代（早期〜前期）][弥生時代（中期）]［近世］","集落","[弥生時代]住居　[近世]富士講胎内遺構　溝　道路状遺構","縄文土器　弥生土器　面子　銭貨　石製大日如来像　磨製石斧　陶磁器",139.7051446,35.64402888,TRUE
13110001300,13110,"13","はちまんじんじゃうらいせき","八幡神社裏遺跡","目黒区 中目黒三丁目","[縄文時代（中期〜後期）]","包蔵地","","縄文土器　打斧　石匙　石皿　玉類",139.6997201,35.63989954,TRUE
13110001400,13110,"14","えいりゅうじとうほういせき","永隆寺東方遺跡","目黒区 中目黒四丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　磨斧　石鏃　石錐　石皿　凹石　石棒",139.70281,35.63666288,TRUE
13110001500,13110,"15","なかめぐろいせき","中目黒遺跡","目黒区 中目黒四丁目　中目黒五丁目　目黒三丁目","[旧石器時代][縄文時代（早期〜後期）][中世][近世]","集落","[旧石器時代]礫群　石器群　石器ブロック　[縄文時代]住居　土坑[近世]溝状遺構　畝状遺構　落とし穴状遺構","ナイフ形石器　尖頭器　角錐状石器　掻器　剥片　縄文土器　打斧　礫器　石鏃　石槌　石皿　スタンプ形石器　敲石　煙管　磨石　火打石　土器片錘　陶磁器　土製円盤　瓦　石刃　凹石　磨製石斧",139.7015397,35.63607692,TRUE
13110001600,13110,"16","ゆうてんじとうほういせき","祐天寺東方遺跡","目黒区 中目黒五丁目","[縄文時代（中期）]","包蔵地","","縄文土器　石棒",139.697983,35.635895,TRUE
13110001700,13110,"17","きゅうこんぴらしゃいせき","旧金比羅社遺跡","目黒区 目黒三丁目","[縄文時代]","包蔵地","","打斧",139.7054879,35.63275639,TRUE
13110001900,13110,"19","がじょえんいせき","雅叙園遺跡","目黒区 下目黒一丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧",139.7136411,35.63236011,TRUE
13110002000,13110,"20","めぐろふどういせき","目黒不動遺跡","目黒区 下目黒三丁目　下目黒四丁目","[縄文時代（早期〜後期）][弥生時代（後期）]","集落","[縄文時代]住居　集石　土坑　[弥生時代]住居","縄文土器　土器片錘　打製石斧　石鏃　石錘　土版　弥生土器",139.7075822,35.62857065,TRUE
13110002100,13110,"21","きゅうけいばじょういせき","旧競馬場遺跡","目黒区 下目黒四丁目","[縄文時代（中期）]","包蔵地","","縄文土器　石斧　石槌",139.7057626,35.63130536,TRUE
13110002200,13110,"22","あぶらめんいせき","油面遺跡","目黒区 中町一丁目　中町二丁目　中央町一丁目　中央町二丁目","[縄文時代（中期〜後期）][近世]","集落","[縄文時代]住居　小穴","縄文土器　打斧　石鏃　石匙　石錐　石槌　石皿　凹石　玉類　大形玉器　石棒　石剣　陶磁器　楔形石器　剥片　敲石　スタンプ形石器　磨製石斧　滑石製装飾品　土製円盤　土器片錘　銭貨",139.6955316,35.63208669,TRUE
13110002300,13110,"23","めぐろこうこううらいせき","目黒高校裏遺跡","目黒区 祐天寺二丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　磨斧　石槌",139.693815,35.63694191,TRUE
13110002400,13110,"24","あぶらめんにしいせき","油面西遺跡","目黒区 中央町二丁目","[縄文時代]","包蔵地","","打斧　磨斧",139.6906907,35.63242154,TRUE
13110002700,13110,"27","たかぎじんじゃうらいせき","高木神社裏遺跡","目黒区 南二丁目","[縄文時代（中期）]","包蔵地","","縄文土器　打斧　石鏃　石棒",139.6873649,35.61685121,TRUE
13110002800,13110,"28","ふじみだいいせき","富士見台遺跡","目黒区 南三丁目","[縄文時代（中期）]","包蔵地","","縄文土器　石斧　石鏃　石槌　石棒",139.6853049,35.61325077,TRUE
